title,title2,name,location,bhk,size_sqft,price_numeric,amenities,image,image2,image3,source_url,scraped_at
"Flats in Lower Parel, Mumbai | 343+ Lower Parel, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,944.0,66700000.0,"gated,gym,lift,metro,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/f947c110b153aae2bc38cc5677340cdf/v0/thumb.jpg,https://housing.com/in/buy/mumbai/lower_parel,2026-04-04T17:55:46.010074Z
"Flats in Andheri West, Mumbai | 2462+ Andheri West, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,1850.0,98000000.0,"metro,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg,https://housing.com/in/buy/mumbai/andheri_west,2026-04-04T17:55:53.042197Z
"Flats in Cuffe Parade, Mumbai | 25+ Cuffe Parade, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,1700.0,160000000.0,"gated,gym,lift,metro,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg,https://housing.com/in/buy/mumbai/cuffe_parade,2026-04-04T17:56:00.007979Z
"Flats in Tata Blocks, Bandra West, Mumbai | 2+ Tata Blocks, Bandra West, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,1438.0,27100000.0,"gated,gym,hospital,lift,metro,park,play area,pool,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/0b8ad14c/d8edc4ffdc474189c125cefbd3c09408/v1/thumb.jpg,https://housing.com/in/buy/mumbai/tata_blocks,2026-04-04T17:56:07.040900Z
"Flats in Jacob Circle, Mumbai | 70+ Jacob Circle, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,1150.0,55000000.0,"gated,gym,lift,metro,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/5fa077f6b59a93b2aec310982db7c1ec/v0/thumb.jpg,https://housing.com/in/buy/mumbai/jacob_circle,2026-04-04T17:56:13.639665Z
"Flats in Byculla, Mumbai | 431+ Byculla, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,635.0,27500000.0,"garden,gated,gym,hospital,lift,metro,park,parking,play area,pool,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/0b8ad14c/9fad1320dc8dfcf8355cff68ec6596e7/v6/thumb.jpg,https://housing.com/in/buy/mumbai/byculla,2026-04-04T17:56:21.366514Z
"Flats in Vaidya Nagar, Bandra West, Mumbai | 8+ Vaidya Nagar, Bandra West, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,1458.0,108400000.0,"gated,gym,lift,park,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/a63ca07dcde0782a8442aa8bce0353d6/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/vaidya_nagar,2026-04-04T17:56:27.431048Z
"Flats in Maharashtra Nagar, Borivali West, Mumbai | 45+ Maharashtra Nagar, Borivali West, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,458.0,14200000.0,"gated,gym,lift,metro,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/aa3be4a51dcc1dadf4b9e399e6a63436/v0/thumb.jpg,https://housing.com/in/buy/mumbai/maharashtra_nagar_borivali,2026-04-04T17:56:33.795263Z
"Flats in Verma Nagar, Jijamata Colony, Andheri East, Mumbai | 10+ Verma Nagar, Jijamata Colony, Andheri East, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,700.0,22000000.0,"gated,gym,hospital,lift,metro,park,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg,https://housing.com/in/buy/mumbai/verma_nagar,2026-04-04T17:56:40.126425Z
"Flats in Santacruz East, Mumbai | 855+ Santacruz East, Mumbai Flats for Sale",1 BHK in Mumbai,Firecrawl,Mumbai,1,747.0,27599999.999999996,"gated,gym,lift,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/a63ca07dcde0782a8442aa8bce0353d6/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/santacruz_east,2026-04-04T17:56:48.345750Z
