"Property Name","Property URL","Price (INR)","Address","Property Type","Possession Date","Last Updated"
"Keshav Srushti","https://housing.com/in/buy/projects/page/133794-keshav-srushti-by-srushti-realtors-in-palghar","₹27.59 L - 28.73 L","Palghar, Mumbai","1 BHK Flat","Dec, 2025","4d ago"
"Ruparel Zinnia","https://housing.com/in/buy/projects/page/341947-ruparel-zinnia-by-ruparel-realty-in-borivali-west","₹1.99 Cr","Borivali West, Mumbai","2 BHK Flat","Jun, 2028","2d ago"
"Gurukrupa Ekam","https://housing.com/in/buy/projects/page/352911-gurukrupa-ekam-by-gurukrupa-realcon-builders-and-developers-in-andheri-west","₹2.93 Cr - 4.01 Cr","Andheri West, Mumbai","2 BHK Flat,3 BHK Flat","Apr, 2029","1d ago"
"RUPAREL VIVANZA","https://housing.com/in/buy/projects/page/277676-ruparel-vivanza-by-ruparel-realty-in-byculla","₹2.55 Cr - 5.06 Cr","Byculla, Mumbai","2 BHK Flat,3 BHK Flat","Nov, 2027","2d ago"
"Piramal Mahalaxmi","https://housing.com/in/buy/projects/page/331987-piramal-mahalaxmi-by-piramal-realty-in-worli","₹5.39 Cr - 13.58 Cr","Worli, Mumbai","2 BHK Flat,3 BHK Flat,4 BHK Flat","Dec, 2025","3d ago"
"Artha 38 Avenue","https://housing.com/in/buy/projects/page/344324-artha-38-avenue-by-artha-lifespaces-llp-in-goregaon-west","₹1.73 Cr - 2.26 Cr","Goregaon West, Mumbai","2 BHK Flat,3 BHK Flat","Jan, 2029","4w ago"
"Multistar Autograph Residency","https://housing.com/in/buy/projects/page/355195-multistar-autograph-residency-by-multistar-builders-llp-in-andheri-west","Price on Request - ₹4.23 Cr","Andheri West, Mumbai","1 BHK Flat,3 BHK Flat,Duplex","Dec, 2030","2w ago"
"Star Signature City Star Pearl","https://housing.com/in/buy/projects/page/266377-star-signature-city-star-pearl-by-star-builders-and-developers-in-makane-kapase","₹25.26 L - 31 L","Makane Kapase, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2026","4w ago"
"Mesacon Nest","https://housing.com/in/buy/projects/page/276003-mesacon-nest-by-mesacon-group-in-vile-parle-east","₹1.14 Cr - 3.63 Cr","Vile Parle East, Mumbai","1 BHK Flat,2.5 BHK Flat,3 BHK Flat","Dec, 2024",""
"Bharat Auravistas","https://housing.com/in/buy/projects/page/328188-bharat-auravistas-by-bharat-agri-fert-realty-ltd-in-andheri-west","₹3.81 Cr - 6.6 Cr","Andheri West, Mumbai","3 BHK Flat","Jul, 2029","1d ago"
"Gurukrupa The Marque","https://housing.com/in/buy/projects/page/336380-gurukrupa-the-marque-by-gurukrupa-realcon-lifespaces-llp-in-bandra-west","₹3.91 Cr - 11.56 Cr","Bandra West, Mumbai","2 BHK Flat,3 BHK Flat,3.5 BHK Flat,4 BHK Flat,5 BHK Flat","Oct, 2028",""
"Piramal Aranya","https://housing.com/in/buy/projects/page/301988-piramal-aranya-by-piramal-realty-in-byculla","₹2.99 Cr","Byculla, Mumbai","2 BHK Flat,3 BHK Flat,4 BHK Flat","Dec, 2027","1d ago"
