web_scraper_order,web_scraper_start_url,data,name,data2,title,title2,data3,data5,title3,data7,data8,data11,data14,image,image2,image3,image4
"1770138947-15","https://housing.com/in/buy/mumbai/mumbai","Contact","Paradigm Realty","1/53","71 Midtown","1, 2, 3 BHK Flats  in Chembur, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Chembur, Mumbai","3d ago","Possession: Dec, 2025","Possession: Dec, 2025","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-16","https://housing.com/in/buy/mumbai/mumbai","Contact","PENNYWISSE","1/7","Kush Symphony","2, 3 BHK Flats  in Mulund West, Mumbai","Zero Brokerage","RERA","2, 3 BHK Flats  in Mulund West, Mumbai","2d ago","Possession: Jun, 2025","Possession: Jun, 2025","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-17","https://housing.com/in/buy/mumbai/mumbai","Contact","Sharon Real Estate","1/53","L And T Rejuve 360 Tower A","2, 2.5, 3, 3.5, 4 BHK Flats  in Mulund West, Mumbai","Zero Brokerage","RERA","2, 2.5, 3, 3.5, 4 BHK Flats  in Mulund West, Mumbai","3d ago","Possession: Dec, 2026","Possession: Dec, 2026","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-18","https://housing.com/in/buy/mumbai/mumbai","Contact","Sales Team","1/11","S B Azura Height","2 BHK Flat  in Jogeshwari West, Mumbai","Zero Brokerage","RERA","2 BHK Flat  in Jogeshwari West, Mumbai","2w ago","Possession: Dec, 2030","Possession: Dec, 2030","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-19","https://housing.com/in/buy/mumbai/mumbai","Contact","HomeBazaar.com","1/30","Arkade Rare","2, 2.5, 3 BHK Flats  in Bhandup West, Mumbai","Zero Brokerage","RERA","2, 2.5, 3 BHK Flats  in Bhandup West, Mumbai","3d ago","Possession: Dec, 2028","Possession: Dec, 2028","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-20","https://housing.com/in/buy/mumbai/mumbai","Contact","Vishnu Mishra","1/15","Paramount Enclave Phase 1","1 RK, 1, 2 BHK Flats  in Palghar, Mumbai","Zero Brokerage","RERA","1 RK, 1, 2 BHK Flats  in Palghar, Mumbai","2w ago","Possession: Nov, 2024","Possession: Nov, 2024","1 RK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-21","https://housing.com/in/buy/mumbai/mumbai","Contact","Yellow Spaces","1/27","Chandak GreenAiry","1, 2, 3, 3.5, 4, 4.5 BHK Flats  in Borivali East, Mumbai","Zero Brokerage","RERA","1, 2, 3, 3.5, 4, 4.5 BHK Flats  in Borivali East, Mumbai","3d ago","Possession: Jun, 2028","Possession: Jun, 2028","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-22","https://housing.com/in/buy/mumbai/mumbai","Contact","Ace Realty","1/19","Raghav Paradise","1, 2, 3 BHK Flats  in Borivali East, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Borivali East, Mumbai","4w ago","Possession: Dec, 2025","Possession: Dec, 2025","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-23","https://housing.com/in/buy/mumbai/mumbai","Contact","Banke","1/33","Chandak Highscape City 1A","1, 2, 3, 3.5, 4, 4.5 BHK Flats  in Chembur, Mumbai","Zero Brokerage","RERA","1, 2, 3, 3.5, 4, 4.5 BHK Flats  in Chembur, Mumbai","3d ago","Possession: Dec, 2030","Possession: Dec, 2030","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-24","https://housing.com/in/buy/mumbai/mumbai","Contact","Concrete Builders","1/12","Sai Swaroop","1, 3 BHK Flats  in Chembur, Mumbai","Zero Brokerage","RERA","1, 3 BHK Flats  in Chembur, Mumbai","3d ago","Possession: Dec, 2027","Possession: Dec, 2027","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-25","https://housing.com/in/buy/mumbai/mumbai","Contact","Western property Consultant","1/28","SMGK Urbana Heights","1, 2, 2.5 BHK Flats  in Jogeshwari West, Mumbai","Zero Brokerage","RERA","1, 2, 2.5 BHK Flats  in Jogeshwari West, Mumbai","3d ago","Possession: Jul, 2025","Possession: Jul, 2025","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-26","https://housing.com/in/buy/mumbai/mumbai","Contact","AS Realty","1/27","","2 BHK Flat  in Mira Road East, Mira Bhayandar","New Booking","RERA","2 BHK Flat  in Mira Road East, Mira Bhayandar","","Close to Railway Station","Close to Railway Station","Avg. price: ₹11.65k/sq.ft","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-27","https://housing.com/in/buy/mumbai/mumbai","Contact","Anil yadav","1/15","Pratha Codename Zero","1, 2, 3 BHK Flats  in Goregaon East, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Goregaon East, Mumbai","2w ago","Possession: Dec, 2029","Possession: Dec, 2029","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-28","https://housing.com/in/buy/mumbai/mumbai","Contact","Ruparel Realty","1/33","Ruparel Regalia","2 BHK Flat  in Sion, Mumbai","Zero Brokerage","RERA","2 BHK Flat  in Sion, Mumbai","","","","2 BHK Flat","https://housing-images.n7net.in/0b8ad14c/9fad1320dc8dfcf8355cff68ec6596e7/v6/thumb.jpg","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://housing-images.n7net.in/0b8ad14c/9fad1320dc8dfcf8355cff68ec6596e7/v6/thumb.jpg"
"1770138947-29","https://housing.com/in/buy/mumbai/mumbai","Contact","Deepak Arora","1/13","Sushanku Avenue 37","2 BHK Flat  in Goregaon West, Mumbai","Zero Brokerage","RERA","2 BHK Flat  in Goregaon West, Mumbai","","Possession: Dec, 2027","Possession: Dec, 2027","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg"
"1770138947-30","https://housing.com/in/buy/mumbai/mumbai","Contact","Ruparel Realty","1/43","Ruparel Panache","3 BHK Flat  in Santacruz West, Mumbai","Zero Brokerage","RERA","3 BHK Flat  in Santacruz West, Mumbai","2w ago","Possession: Dec, 2025","Possession: Dec, 2025","3 BHK Flat","https://housing-images.n7net.in/0b8ad14c/9fad1320dc8dfcf8355cff68ec6596e7/v6/thumb.jpg","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://housing-images.n7net.in/0b8ad14c/9fad1320dc8dfcf8355cff68ec6596e7/v6/thumb.jpg"
"1770138947-31","https://housing.com/in/buy/mumbai/mumbai","Contact","Grow Real Estate","1/30","","2 BHK Flat  in Mira Road East, Mira Bhayandar","Resale","RERA","2 BHK Flat  in Mira Road East, Mira Bhayandar","1w ago","Vastu Compliant","Vastu Compliant","Avg. price: ₹16.67k/sq.ft","https://housing-images.n7net.in/fb15c03b/1af2020636f4c6cd79bcb073caf54e57/v0/thumb.jpg","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://housing-images.n7net.in/fb15c03b/1af2020636f4c6cd79bcb073caf54e57/v0/thumb.jpg"
"1770138947-32","https://housing.com/in/buy/mumbai/mumbai","Contact","Sales Team Andheri east","1/13","JP Parkway","1, 2 BHK Flats  in Jogeshwari East, Mumbai","Zero Brokerage","RERA","1, 2 BHK Flats  in Jogeshwari East, Mumbai","3d ago","Possession: Dec, 2028","Possession: Dec, 2028","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg"
"1770138947-33","https://housing.com/in/buy/mumbai/mumbai","Contact","Navnath Infrastructures Private Limited","1/10","Navnath Jayas","1, 2, 3 BHK Flats  in Goregaon East, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Goregaon East, Mumbai","3d ago","Possession: Dec, 2027","Possession: Dec, 2027","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg","https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg"
